event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
602,653,Authority,Male,PAN,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-14,Quintana_Roo,23,1857985,921206,936779,468580,482478,549.3314065510598,10.03839113680154,685.6666666666666,3.227986512524085,261684.516
603,654,Authority,Male,No disponible,Ex-Alcalde(sa),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-14,Oaxaca,20,4132148,2157305,1974843,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486
605,656,Authority,Male,PRI,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-14,Michoacan_de_Ocampo,16,4748846,2442505,2306341,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,261684.516
608,658,Authority,Male,MORENA,Funcionario(a),Federal,Seguridad (e.g. policías; fuerzas del orden),Murder,Comando armado,2022-06-14,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
611,662,Authority,Male,No disponible,Ex-Regidor(a),Municipal,Executive,Assault,No identificado,2022-06-15,Morelos,17,1971520,1020673,950847,552170,529970,1366.4080962800874,9.947713347921225,896.6094091903719,3.4303501094091904,201049.316
610,661,Authority,Female,PT,Regidor(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-16,Sonora,26,2944840,1472643,1472197,547727,825042,807.083115183246,10.127375654450262,706.2198952879581,3.2465706806282726,580732.615
609,659,Authority,Male,No disponible,Ex-Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-17,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
609,660,Authority,Male,No disponible,Ex-Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-17,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
612,663,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,No identificado,2022-06-19,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
613,664,Authority,Male,PRI,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,No identificado,2022-06-20,Jalisco,14,8348151,4249689,4098448,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696
